chembl_id,smiles,Prediccion_Activo,Probabilidad_Activo
CHEMBL7083,C/C(=C\Cn1oc(=O)[nH]c1=O)c1cccc(OCc2noc(-c3ccccc3)n2)c1,1,0.515
CHEMBL33448,N#Cc1ccccc1OCC(O)CNCCNC(=O)c1cc2ccccc2[nH]1,1,0.515
CHEMBL309089,CCCc1nc(-n2c(C)ccc2C)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1,0.515
CHEMBL45934,COc1ccc(C(=O)Nc2ccccc2C#N)cc1OC1CCCC1,1,0.515
CHEMBL312104,CCCc1nc(C)n2[nH]c(=O)nc2c1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1,0.515
CHEMBL71985,CC(C)n1cc(-c2ccc(Oc3ccc(C#N)cc3)cc2)c2c(N)ncnc21,1,0.515
CHEMBL305631,CC1=C(C#N)C(c2ccccc2C(F)(F)F)C(C(=O)O)=C(C[S+]([O-])c2ccccc2)N1,1,0.515
CHEMBL268935,COc1cccc(OC)c1Oc1nc(N)nc(Nc2ccc(C#N)cc2)n1,1,0.515
CHEMBL296918,O=C(O)c1cn(C2CC2)c2nc(-c3ccncc3)c(F)cc2c1=O,1,0.51
CHEMBL70092,CS(=O)(=O)c1ccc(-c2cc(C(=O)CCCO[N+](=O)[O-])nn2-c2ccc(C#N)cc2)cc1,1,0.51
CHEMBL310943,N#Cc1ccc2cc1Oc1cccc(c1)C(c1ccccc1)N1CCC(NCc3cncn3C2)C1=O,1,0.51
CHEMBL45040,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(C#N)cc2)cc1)C(=O)O,1,0.51
CHEMBL42938,CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2ccc(C#N)cc2)cc1)C(=O)O,1,0.51
CHEMBL72335,Cc1cc(C#N)cc(C)c1Oc1ccnc(Nc2ccc(C#N)cc2)n1,1,0.51
CHEMBL302045,COc1ccc2sc(C(=O)Nc3nnn[nH]3)c(OC(C)C)c2c1,1,0.51
CHEMBL67170,COc1cc2cc(-c3ccc(OC)c([N+](=O)[O-])c3)cnc2cc1OC,1,0.51
CHEMBL68557,COc1cc2c(-c3ccc4c(c3)OCO4)c(C(=O)O)n(Cc3ccc4nsnc4c3)c2cc1OC,1,0.51
CHEMBL54553,N#CSCCOc1ccc(Oc2ccccc2)cc1Cl,1,0.51
CHEMBL19862,CCCCCCCCCCOc1ccc(-c2nnn(CCCCc3nnn[nH]3)n2)cc1,1,0.51
CHEMBL23254,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,1,0.51
CHEMBL27750,Cc1ccccc1-c1cc(NCc2cncn2C)ccc1C#N,1,0.51
CHEMBL25621,Cc1ccccc1-c1cc(C(O)(c2ccc(C#N)cc2)c2cncn2C)ccc1C#N,1,0.51
CHEMBL287694,N#Cc1ccccc1OCC(O)CNCCNC(=O)Cc1cccs1,1,0.51
CHEMBL30408,Cc1cc(C(=O)NCCNCC(O)COc2ccccc2C#N)[nH]n1,1,0.51
CHEMBL8810,CCCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)nc2c1=O,1,0.51
CHEMBL16718,N#CCCn1nc(-c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2)oc1=O,1,0.51
CHEMBL34378,COc1ccc(C#Cc2ccccc2C(=O)O)cc1Cc1cnc(N)nc1N,1,0.51
CHEMBL312121,CN1Cc2cncn2Cc2ccc(C#N)c(c2)Oc2ccc3cccc(c3c2)N2CCC1C2=O,1,0.51
CHEMBL83490,COc1cc2ncc(C#N)c(Nc3cc(OC)c(OC)c(OC)c3Br)c2cc1OC,1,0.51
CHEMBL419835,CCCc1nc(C)n2nc(C(=O)O)nc2c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1,0.51
CHEMBL51677,COc1ccc(C(=O)O)c(-c2ccc3c(c2)OC[C@H](Cc2ccccc2)[C@H]3O)c1,1,0.51
CHEMBL53183,CN1C(=O)CNCc2cncn2Cc2ccc(C#N)c(c2)Oc2ccc3cccc1c3c2,1,0.51
CHEMBL51492,O=C(O)c1ccc(F)cc1-c1ccc2c(c1)OC[C@H](CCc1ccccc1)[C@H]2O,1,0.51
CHEMBL52819,N#CSCCOc1ccc(Oc2ccccc2)cc1Br,1,0.51
CHEMBL289565,COP(=O)(CN[C@@H](Cc1ccc(-c2ccccc2)cc1)c1nnn[nH]1)OC,1,0.505
CHEMBL39924,Cc1ccc(C(=O)O)c(CCCn2cnc3c2NC=NCC3O)c1,1,0.505
CHEMBL36851,COc1c(OC)c(OC(C)=O)c2c(C#N)cccc2c1OC(C)=O,1,0.505
CHEMBL35080,COc1ccc(C#CCOc2cccc(C(=O)O)c2)cc1Cc1cnc(N)nc1N,1,0.505
CHEMBL29064,Cn1cncc1CNc1ccc(C#N)c(-c2cccc3ccccc23)c1,1,0.505
CHEMBL28252,CN(Cc1cncn1C)c1ccc(C#N)c(-c2cccc3ccccc23)c1,1,0.505
CHEMBL31745,CC#CC(=O)Nc1cnc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,1,0.505
CHEMBL31118,CN(C)CCOc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cn1,1,0.505
CHEMBL22959,N#Cc1ccc(Cn2ccnc2)cc1Oc1ccc2ccccc2c1,1,0.505
CHEMBL422570,CC(C#N)n1nc(-c2ccc(OCc3ccccc3)cc2)oc1=O,1,0.505
CHEMBL17093,Cc1cccc(COc2ccc(-c3nn(CCC#N)c(=O)o3)cc2)c1,1,0.505
CHEMBL15282,Cc1ccccc1N/N=C1\CCC(C)n2c1ncc(C(=O)O)c2=O,1,0.505
CHEMBL14807,CCOc1ccccc1N/N=C1\CCC(C)n2c1ncc(C(=O)O)c2=O,1,0.505
CHEMBL277512,CC1CC/C(=N\Nc2ccc(-c3ccccc3)cc2)c2ncc(C(=O)O)c(=O)n21,1,0.505
CHEMBL19245,CCc1cc(Nc2c(N[C@H](C)C(C)(C)C)c(=O)c2=O)ccc1C#N,1,0.505
CHEMBL19298,C[C@@H](/N=c1\c(O)c(O)\c1=N/c1ccc(C#N)c(O)c1)C(C)(C)C,1,0.505
CHEMBL303203,Cc1ccc(OC(=O)c2sccc2S(=O)(=O)Nc2onc(C)c2Cl)c(C)c1,1,0.505
CHEMBL52975,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)NC(=O)CNCc1cncn1C2,1,0.505
